t,pos_x, pos_y, pos_z, roll, pitch, yaw,x_vel, y_vel, z_vel, roll_rate, pitch_rate, yaw_rate,left_hip_yaw_pos, left_hip_roll_pos, left_hip_pitch_pos, left_knee_pitch_pos,right_hip_yaw_pos, right_hip_roll_pos, right_hip_pitch_pos, right_knee_pitch_pos,left_shoulder_yaw_pos, left_shoulder_pitch_pos, left_elbow_pitch_pos,right_shoulder_yaw_pos, right_shoulder_pitch_pos, right_elbow_pitch_pos,left_hip_yaw_vel, left_hip_roll_vel, left_hip_pitch_vel, left_knee_pitch_vel,right_hip_yaw_vel, right_hip_roll_vel, right_hip_pitch_vel, right_knee_pitch_vel,left_shoulder_yaw_vel, left_shoulder_pitch_vel, left_elbow_pitch_vel,right_shoulder_yaw_vel, right_shoulder_pitch_vel, right_elbow_pitch_vel,left_hip_yaw_pos_ref, left_hip_roll_pos_ref, left_hip_pitch_pos_ref, left_knee_pitch_pos_ref,right_hip_yaw_pos_ref, right_hip_roll_pos_ref, right_hip_pitch_pos_ref, right_knee_pitch_pos_ref,left_shoulder_yaw_pos_ref, left_shoulder_pitch_pos_ref, left_elbow_pitch_pos_ref,right_shoulder_yaw_pos_ref, right_shoulder_pitch_pos_ref, right_elbow_pitch_pos_ref,left_hip_yaw_vel_ref, left_hip_roll_vel_ref, left_hip_pitch_vel_ref, left_knee_pitch_vel_ref,right_hip_yaw_vel_ref, right_hip_roll_vel_ref, right_hip_pitch_vel_ref, right_knee_pitch_vel_ref,left_shoulder_yaw_vel_ref, left_shoulder_pitch_vel_ref, left_elbow_pitch_vel_ref,right_shoulder_yaw_vel_ref, right_shoulder_pitch_vel_ref, right_elbow_pitch_vel_ref,left_hip_yaw_tor_ref, left_hip_roll_tor_ref, left_hip_pitch_tor_ref, left_knee_pitch_tor_ref,right_hip_yaw_tor_ref, right_hip_roll_tor_ref, right_hip_pitch_tor_ref, right_knee_pitch_tor_ref,left_shoulder_yaw_tor_ref, left_shoulder_pitch_tor_ref, left_elbow_pitch_tor_ref,right_shoulder_yaw_tor_ref, right_shoulder_pitch_tor_ref, right_elbow_pitch_tor_ref,
0.012,-0.00070632,-2.02384e-21,-1.44329e-20,-0.11772,-3.09937e-19,-2.14643e-18,-1.94659e-20,3.72387e-20,-1.94659e-20,3.72387e-20,-2.14643e-18,1.83187e-18,-2.14643e-18,1.83187e-18,0,0,0,0,0,0,0,0,0,0,0,0,
0.013,-0.000823227,-3.7022e-07,-8.39396e-06,-0.11332,-0.00092272,-0.0206943,1.44454e-05,-6.54831e-06,1.44454e-05,-6.54831e-06,0.0346867,-0.0143308,0.0346867,-0.0143308,0,0,0,0,0,0,0,0,0,0,0,0,
0.014,-0.00093307,-1.84896e-06,-4.07101e-05,-0.106413,-0.00203449,-0.0436628,6.48789e-05,-2.16071e-05,6.48789e-05,-2.16071e-05,0.064676,-0.013559,0.064676,-0.013559,0,0,0,0,0,0,0,0,0,0,0,0,
0.015,-0.00103614,-4.43541e-06,-9.52701e-05,-0.0997565,-0.00313633,-0.0652518,0.000141971,-3.1282e-05,0.000141971,-3.1282e-05,0.0887719,-0.00489861,0.0887719,-0.00489861,0,0,0,0,0,0,0,0,0,0,0,0,
0.016,-0.00113265,-8.11624e-06,-0.000170851,-0.0932927,-0.00422266,-0.0857396,0.000241482,-3.05406e-05,0.000241482,-3.05406e-05,0.109866,0.00666976,0.109866,0.00666976,0,0,0,0,0,0,0,0,0,0,0,0,
0.017,-0.00122277,-1.2875e-05,-0.00026643,-0.0869803,-0.00529209,-0.105263,0.000361166,-1.77624e-05,0.000361166,-1.77624e-05,0.129278,0.0189032,0.129278,0.0189032,0,0,0,0,0,0,0,0,0,0,0,0,
0.018,-0.00130665,-1.86948e-05,-0.000381078,-0.0807953,-0.00634454,-0.123882,0.000499684,7.1392e-06,0.000499684,7.1392e-06,0.147593,0.0308094,0.147593,0.0308094,0,0,0,0,0,0,0,0,0,0,0,0,
0.019,-0.00138441,-2.55577e-05,-0.00051388,-0.0747667,-0.00737762,-0.141556,0.000656014,4.3659e-05,0.000656014,4.3659e-05,0.164889,0.0421311,0.164889,0.0421311,0,0,0,0,0,0,0,0,0,0,0,0,
0.02,-0.00145625,-3.34422e-05,-0.000663848,-0.0689507,-0.00838739,-0.158204,0.000829092,9.11971e-05,0.000829092,9.11971e-05,0.181075,0.0528448,0.181075,0.0528448,0,0,0,0,0,0,0,0,0,0,0,0,
0.021,-0.0015224,-4.23237e-05,-0.000829927,-0.0633888,-0.00937091,-0.173771,0.00101777,0.000149142,0.00101777,0.000149142,0.196084,0.0629441,0.196084,0.0629441,0,0,0,0,0,0,0,0,0,0,0,0,
